AQI,Holiday,Day,date,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph, pm25, pm10, o3, no2, so2, co,AQI
402,1,1,1/1/18,11,5,0,8.7,3,97,0,10,10,10,10,6,51,0,1028,11,10,90,8,253,54,31,28,6,8,402
309,0,2,1/2/18,14,9,0,3.9,3,100,8,11,12,11,18,70,74,0,1025,14,10,119,13,132,37,26,26,4,7,309
200,0,3,1/3/18,10,6,0,3.9,2,89,5,5,8,5,30,100,78,0.9,1029,10,10,47,21,90,31,33,12,3,6,200
157,0,4,1/4/18,7,6,0,3.9,2,81,3,3,6,3,23,100,81,0.6,1026,7,8,44,17,77,10,25,13,3,5,157
150,0,5,1/5/18,7,4,0,5.5,2,74,1,4,6,4,17,64,67,0.4,1025,7,9,300,14,48,24,24,18,4,6,150
188,0,6,1/6/18,7,3,0,5.5,2,67,1,4,7,4,15,60,69,0,1024,7,10,133,12,75,55,21,27,5,9,188
325,0,7,1/7/18,10,5,0,4,2,59,6,6,8,6,19,91,86,1.7,1018,10,10,211,13,153,21,19,22,3,8,325
229,0,1,1/8/18,5,1,0,5.5,1,52,-2,-1,4,-1,28,59,66,0.2,1021,5,9,296,21,78,73,32,23,5,12,229
336,0,2,1/9/18,6,0,0,8.7,2,45,-6,1,5,1,20,0,47,0,1026,6,10,283,17,167,45,27,22,6,8,336
220,0,3,1/10/18,6,2,0,8.7,2,38,-6,2,5,2,17,2,44,0,1029,6,10,306,15,96,54,23,24,8,7,220
263,0,4,1/11/18,6,0,0,8.7,2,30,-9,2,5,2,13,10,37,0,1033,6,10,285,11,109,58,23,26,10,8,263
308,0,5,1/12/18,3,-2,0,8.7,2,23,-14,2,4,2,11,0,26,0,1036,3,10,332,9,131,42,18,23,8,7,308
352,0,6,1/13/18,6,-1,0,7.1,1,16,-12,5,6,5,7,25,29,0,1033,6,10,100,5,187,59,13,39,11,11,352
405,0,7,1/14/18,12,4,0,8.7,3,9,3,8,9,8,15,20,66,0,1027,12,10,164,10,257,40,26,31,6,5,405
210,0,1,1/15/18,15,7,0,8.7,4,1,9,13,14,13,8,7,76,0,1023,15,10,150,6,93,41,20,36,7,7,210
330,0,2,1/16/18,16,10,0,8.7,3,0,9,12,13,12,14,55,80,0.7,1016,16,6,254,10,159,56,9,35,5,7,330
309,0,3,1/17/18,13,8,0,8.7,4,0,7,11,12,11,8,32,70,0,1020,13,10,221,7,132,80,22,31,4,10,309
343,0,4,1/18/18,11,8,0,5.6,2,6,5,9,10,9,10,73,72,1.2,1024,11,8,57,8,176,68,27,28,3,7,343
334,0,5,1/19/18,10,8,0,4,2,13,5,9,9,9,8,99,75,0.1,1025,10,10,48,6,164,92,23,38,6,10,334
353,0,6,1/20/18,9,7,0,4,2,20,5,8,9,8,9,89,75,0.8,1023,9,8,56,7,189,76,24,36,6,9,353
340,0,7,1/21/18,9,7,0,4,2,28,4,7,8,7,14,97,75,5.2,1020,9,10,65,10,172,45,36,27,5,6,340
290,0,1,1/22/18,11,6,0,8.7,3,35,5,10,11,10,8,19,71,0,1020,11,10,315,7,117,39,29,30,3,8,290
